homepage,amount
wavegp.com,26500698680117
psyada.com,26463201138066
ibexpool.com/basho,25968421262999
adamantium.online,25785082108857
maluiin.com,25704182452561
crowdano.com,25490561000179
twitter.com/sakakibara1JPN,25379327863724
cosmicassetpool.net,25295765038680
pool_id_4928,25126949971332
muen-project.com,25025084355983
mantispool.net,24985925871447
kysenpool.io,24788527932991
pool_id_815,24400708354758
adafrog.io,24396078824685
azureada.com/azdfm,24293099694804
cardano.fans,24238440321711
git.io/JU5Hg,24160409290378
stakewithnerd.com,24091189150677
thc-room335.com/rama,23967817668474
cardano.sargatxet.cloud,23624114091326
world-economic-pool.amebaownd.com,23388189389328
easy1staking.com,23353604863872
elitestakepool.com,23295082965592
sakepool.com,23084744152820
stakelovelace.io,22945445451921
ada-stake.com,22865721947408
staking247.com,22836607467017
powerstakepool.com,22830705752764
bitapool.wixsite.com/bita,22745838673713
twitter.com/momoadapool,22572248200446
usenobi.com,22052810462670
pool_id_4731,22013942533943
jazz2.jazz-pool.com,21903927905567
cardanistas.io,21762212550179
StakeWithPride.com,21409560770762
ranket2.wordpress.com,21356407798792
hyperlinkpool.kr,21249895031589
0AAAA.org,21136716453326
thevikingpool.com,21114011176389
cflowpool.com,20901701941178
t.me/StakingADA,20767274037613
adapointpool.com,20707614979527
jazz.jazz-pool.com,20616994880631
alps.kalu.solutions,20611280828755
github.com/ryomapool/ryoma,20546096308877
charity-pool.ro,20440663796553
validator.cex.io/ada,20035057808645
bitcoinsuisse.com,19815638369776
stakenuts.com,19645074222795
twitter.com/nvetech,19362862770379
adaverse.com,19187142870975
blueocean.sg,19061468121361
Cardano24.com,18887866610415
fimi.vn/ada,18886441702866
adastack.net,18507823257358
adamoon.net,18496988841064
cheapstaking.com,18428450244144
myadapoolnamerocks.com,18360112707775
Pool.Bio,18332582737119
arrapool.io,18179438211641
monadpool.com,18172355916030
qcpol.stakepool.quebec,18166725555309
pool_id_810,18095902839677
apexpool.info,17960325944188
twitter.com/Rd7hrujn2Xv5FS2,17861767603362
lidonation.com,17714595839224
hazelpool.com,17666833158073
herostakepool.com,17652843406118
ada.ibexpool.com,17633001648166
pool_id_4206,17441605413179
poolunder.com,17246025721583
twitter.com/stakingberlin,17192475355608
junostakepool.com,16993446052889
queenada.com,16961741944636
pool_id_4296,16901745275947
twitter.com/SMAN8_TickerSA8,16812305785692
devstakepool.github.io,16562605274981
cardanosharp.com,16369122754253
nomadpool.io,16354776633575
cent.stakepoolcentral.com,16332934945440
gimbalabs.com,16198595517086
pool_id_811,16148097717359
stakepool247.eu,16120795087176
sandstone.io,16066203911562
leadstakepool.com,16025132352156
londonpool.co.uk,16013265653567
everestpool.net,15856218754280
balanceanalytics.io,15780091088044
canadastakes.ca,15671464415359
braveheartstakepool.com,15629752337653
pool_id_5056,15528065322473
brewclub.io,15516019376524
github.com/crest9999,15487964820705
cardano-ada-staking-pool.com,15382028712777
adaforwarriors.io,15265184023931
adapool.one,15261936980329
cosd.com/pool,15250549107203
catalystswarm.com,15242559100805
twitter.com/BradaPool,15193082611829
psiloblox.io,15116123278250
adacapital.io,14944529740870
logicalmechanism.io,14896440700320
twitter.com/BreakingADA,14877563217125
cardanoaim.io,14826917437888
quality-assurance-dao.github.io,14784755643711
junglestakepool.com,14652952745818
adabreathes.com,14559544346005
twitter.com/HGK000,14329888195073
friends.staking4ADA.org,14312515425026
waldmops.nvmr.de,14254283149268
scardano.io,14234851394385
vampyre.fund,14199223629704
viperstaking.com/ada-pools/adder-pool,14190624536777
adaalphapool.com,14138930148372
Voltairera.com,14125816362819
ada63pool.com,13598182993708
infiniastakepool.com,13555273069961
kblocks.net,13457052053696
ouroboros.mobi,13304189007583
github.com/stakepoolhub,13129239431508
osaka-pool.com,13024828871205
pudim.od.gy,12856096997064
adage.app,12715720485097
koreapool.io,12694793246524
feelstakepool.com,12499027311686
vivi-stakepool.com,12446018068334
cardanocanucks.com,12118614771552
bit.ly/3fQLy8y,11906859507441
blackstarpool.com,11479438798764
the.adahou.se,11401290002322
tap-ada.github.io,11156966700525
bancpool.com,11129503755146
twitter.com/kazewa_minami,11124649285117
vincepool.com,11041532646458
cardano.stakepools.info,10988849404047
adapools.org/AOTA,10233181610936
diamondpool.io,10224606225283
github.com/rgdl12345/rgdl12345,10042323860671
pool_id_1658,10040301121204
bliss-pool.net,10021383417466
koalapool.org,9924653698292
spectrum-pool.kind.software,9924339668516
stakeada.kr,9907376171289
weqntstakepool.nl,9867249228012
congeepool.com,9854812657928
fortepool.io,9765544967703
kanayama11.xyz,9722583237730
armadastakepool.com,9365114943013
cryptobounty.org,9059670944070
thc-room335.com,8959946861326
cardano-thailand.com,8944192548010
youradamoonpool.us,8747376001729
one-step-cardano.com,8696592382346
twitter.com/nagamaru_panda?s=06,8642224695963
adafarm.io,8513959247535
twitter.com/cardanodan,8478486502507
fikapool.com,8401316924942
adaape.com,8308649704581
pool_id_6368,8298729474331
LoneStarStaking.net,8294241228485
hashvalley.github.io,8252278711019
aastakepool.com,8226420565235
huskypool.com,8191927667032
okex.win,8145206092650
youtube.com/channel/UCO_-AuhWHBUYq_eF63FS7bg,8140524825962
kangaroo.onl,8078391403698
createplanets.com,8060479759747
adapools.org/AURA,8053905511183
tinyurl.com/NINIstake,7902652051036
adapools.org/AMZ1,7863382989799
cheekycrypto.io,7730696210910
21ada.ca,7728046289889
pool_id_3240,7658870886210
twitter.com/PoolAsahi,7631932216930
cardano-education.com,7592149619759
hysleeper.github.io/meow,7534983351048
nespool.com,7524327308247
earningcardano.com,7508276985645
bit2me.com/suite/nodes,7489020196403
adarewards.org,7477255928297
anetabtc.io,7415998679876
davidlikescrypto.com,7407004322026
mochipool.com,7390620922815
twitter.com/SDGsPOOL,7376065030552
cardania.com,7374174201423
beaver-stake-pool.net,7338573074042
expo-dow.com,7333093024833
zjavax.github.io/cardano_doc/#,7205823042797
arcadiastakepool.com,7192656177401
tylerscrypto.com,7176834993685
twitter.com/LumpAHV8Lx1LGtU,7102651287274
piada.io,6850723110683
ayame3.com,6807927372491
staking.rocks,6728547572165
vogue-pool.com,6723602315881
discovery-pool.com,6722731822388
cardanopool.xyz,6624064404197
yoyogi-pool.site,6597815456189
ada.vegas,6582733627898
genepool.one,6514519494439
woodlandpools.net,6450378661603
twitter.com/tk_gems,6407003700918
rats.fail,6361143897249
cswap.info,6330885080719
kindstakepool.com,6304371345223
adayield.io,6303164194866
miyabi-kyoto.org,6238394196778
adastaking.co.uk,6157253294913
cardano-pool.eu,6130157382636
cardanosuisse.com,6086593350834
astarter.io,6070566740076
cryptovios.com/stake/ada,6069445868386
crimsonpool.com,6043356958248
stake.army,6020497616663
cardanoatstake.com,6018026945861
7ru3.com,5996165000254
chilestakepo.cl,5947758644084
radarstakepool.org,5922614092467
tinyurl.com/Pool-NICE,5881534998844
actpool.io,5793116419647
mugen-pool.com,5767552320346
ourostech.com.br,5758151936374
rabbitholepools.io,5758146486179
twitter.com/Cardano_ISSA,5674956980665
307pool.com,5657116701949
occam-x.fi,5642568519630
orcada.io,5631596535785
carpoolcrypto.com,5579061943996
cpoolsunited.com/pool?id=VENUS,5559538186447
twitter.com/TAM_Stake_Pool,5514813834411
stakeTREK.io,5513435287786
adaloop.org,5512604909255
nasec.co.uk/cardano,5404352865342
ada.zone,5390719164796
poapool.com,5385653064940
latinstakepools.com,5360402351029
twitter.com/mac5_alpha,5358294578296
fungi-pool.com,5350552113638
nmkr.io,5334649168525
lootpool.io,5295501516853
adanorthpool.com,5295384212494
adaocean.com.au,5237806777193
adapolis.io,5234510997421
zpngstakepool.com,5176170205911
denadapool.io,5132904489519
vicispool.com,5041323069647
bitboycrypto.com,5017816848518
bourbonx.io,5008442608012
0pctpools.com,4986621674939
bbhmm.net,4974301221120
stakeforfuture.org,4965479729054
dew-stake.com,4932466466779
adatree.io,4874049088153
chunkymonkey.us,4867639658045
stakeforcake.com,4808291551790
codanar.com,4755359267035
milky-pool.com,4725029359803
vasilstdabov.org/staking-pool,4703699502824
ellipal.com/pages/ellipal-staking,4703091535849
cardanoeagle.com/ada-pool,4693972123757
ukada.godaddysites.com,4692797128973
chaos-staking.com,4678686466247
twitter.com/Diamond25758632,4601935994067
longshortsignal.com/cardanopool,4591614742915
capitalstakepool.info,4512565526609
4goodstakepool.com,4489463708206
wastaking.xyz,4489438103937
theartbank.io,4425089811863
deadpoolcrypto.com,4421131155449
chefpool.org,4419666066587
toast-pool.us,4369376816527
tts17.com,4312651061617
threepool.io,4273506650523
wira.org,4265478671240
pooltool.io/pool/b81c65f4e17c8e94d89fcd369d11077af9800ae70177013a1a79b349,4230029072646
teqwyse.com,4227006012696
youtube.com/c/augustobackes,4199468705441
cardano-staking-pool.cms.ubx.ph,4168862204222
keipool.com,4141664433799
pool_id_1739,4117576107298
cardano.amsterdam,4102562435664
let-them-eat-stake.com,4097283457460
adoptstakepool.com,4063815859835
stakhanovite.io,3971182744101
metadex.fi,3953305756149
pool_id_5006,3937456625389
twitter.com/QAnjftSymSinPhz,3917009995330
StakeMyADA.net,3886234817628
twitter.com/HIT40877568,3856646387745
lovelace.community,3843904310766
cardano1st.com,3806307811095
ddos.design,3793561814081
fortunepool.net,3768737440177
cardanotech.io,3738214432575
butt.lol,3737942333027
tygar-pool.com,3725555447999
kevmate.com,3672041659630
crypto-loops.com/loops,3655962876661
twitter.com/choco_stake,3607452962320
lilystake.xyz,3591541009183
joeystakepool.com,3574617950569
smilespool.com,3559253603913
twitter.com/sagittarius_stc,3541761921989
summonplatform.io,3541372433923
unrefugees.ch/en/refugee-stakepool,3527098950755
snakepool.link,3507857150959
ianesthesia.org/sage.html,3502024655364
stakewithmax.com,3471822307753
rarepepes.com,3464410533658
granadapool.com,3434116639524
saltnet.io,3423226704742
bonafideada.com,3422501877063
poolfixada.com,3408853852204
topopool.com,3397133768659
dosstakepool.com,3397089213089
pool_id_1633,3362671076135
cardanoaldia.com,3359270580714
centimani.io,3347297140993
pool_id_6367,3343049359707
hotelginebra.com.es,3317550342611
terminada.io,3300913635715
twitter.com/PoolOkayama,3290066914681
tangocrypto.com,3233193327292
upstream.org.uk,3209023873262
dappcentral.net,3204668940307
github.com/rdlrt/rdlrt-pool,3185415022116
kanayama12.xyz,3181864158207
gaien1-staking.xyz,3150017507711
socialch4in.com,3122291759021
twitter.com/Berry___Capital,3118199848988
orangeandblue.io,3116884955935
toadpool.org,3114386738076
seedpools.org,3114234927526
cardanomint.com,3100172368334
chip-coin.com,3098525809615
twitter.com/Berry__Capital,3084245316663
yuriyuriyuri.xyz,3068114005188
twitter.com/LightStakePool,3048238537346
cardano-israel.com,3041600998811
twitter.com/ARSA_usui,3039680190257
neighborlypool.xyz,3019348885722
1-PCT.com,3007208308760
pegasuspool.info,2980944456833
unitedstakesofcardano.io,2962615419619
cardanolatino.com/cardanoenglish/Latino-Staking-Pool-Eng,2950958828614
adaly.io,2946892942886
EpochStakePool.com,2868227159721
cardaspians.io,2845040878499
artzstakepool.com,2844440876456
reetg.io,2821058570413
seaside-staking.github.io,2778902668704
zeitgeistpool.com,2765172750739
riotpools.com,2760543802698
kuris.org,2755386862477
reservoir.network,2738815478202
adanet.io,2735751700913
twitter.com/4KOMA_StakePool,2727145433904
growyourstake.com,2715044357982
nanipool.com,2657178628503
romerstakepool.io,2651336719864
getgigs.com,2640190519688
onecommunityada.com,2631626209632
pool_id_6879,2625658094432
boba-pool.com,2624126303126
rinauser.group,2615747348467
A3CcryptoClub.com,2576249685847
ada-anvil.io,2567761850710
fialka.live,2557015811836
koralabs.io,2548156625793
adacryptopool.com,2543966130254
adavn.com,2543924240477
doorkstaking.com,2539678432935
hada.vn.com,2538314238312
adaseal.eu,2518982462981
stoicpool.com,2512620423806
github.com/SIMPLPool/SPO,2504791253175
pool.pm,2470373099092
blockswell.com,2437807831749
mobile.twitter.com/NGS_KGSP,2428943376344
woofpool.github.io,2422319513508
yokohamapool.com,2419860876135
cryptofunctional.com,2406275102050
cardapool.com,2393964825211
white.topopool.com,2386946799100
nimuepool.io,2372028500218
gokey.network,2364155773751
altzpool.com,2358091830167
anewpool.io,2356578574113
yummiuniverse.com,2351514741626
skepsispool.com,2329081990766
adatrust.space,2328955155959
stakeada.com,2327410390067
swisscryptojay.ch,2310386343021
adastaking.eu,2308703123085
youtube.com/c/JasonPizzinoOfficial,2290065894558
adainground.com,2287724321608
twitter.com/7nekonymous,2285902447193
twitter.com/cardano_sugar,2277065000278
xwin.com.my,2273646538132
rarepool.io,2272609415230
pool_id_967,2270272263941
twitter.com/harudaibab,2250262956292
twitter.com/momonga99_spo,2246176842069
adacoinz.com,2227240395307
dot-stake-pool.amebaownd.com,2215099253574
zoepool.com,2206837326322
twitter.com/N_oyaji_ada,2198328547362
pool_id_5244,2190587720891
blockchainlens.org,2190328908583
santoelectronics.com/santonode,2108872614871
twitter.com/maru7358,2100969069172
jorgepool.com,2089564340211
twitter.com/oknw_pool,2085905773647
blog.naver.com/cardano-,2077861397012
adastarnode.com,2049459483291
pool_id_4413,2044859362240
pool_id_4923,2043071214756
314pool.com,2026229598231
akyo.org,2010884575177
pool_id_2115,2004344211564
youtube.com/channel/UCf64J3dPdVRT6OJf57m-uyw,2001462250930
cloud.chainup.com,2000323132640
genesis.space,1995967814333
poolbone.github.io/meta,1992563551932
ispool.live,1987104589177
adavn.stakings.club,1979320525088
t.me/ADA_UP,1978979238308
twitter.com,1977901845200
pool_id_3811,1975524333978
ghisx-pool.com,1961668225963
share-pool.com,1960785823770
gerowallet.io,1954901359696
wiredfoundation.org,1954825583665
rightstakepool.com,1953376021231
genkipool.com,1950085944083
adavanz.com,1937562567426
apolostakepool.com,1923050269383
parisadastakepool.fr,1917725169423
aztecstaking.com,1892849758272
nspyrpool.com,1890285441711
pool_id_3865,1887559281814
poolmeta.tcrs.co.jp,1880625232476
pyur.io,1872832040944
twitter.com/SUNRISE_POOL,1865876967647
lucky-pool.com,1859025828867
adappt.online,1853470119955
yoada.fr,1812813773244
gpg-stakepool.com,1803504343957
clovernodes.io,1786238684558
cloudboom.io,1785271137776
drunkendragon.games,1764532273637
cexplorer.io,1762285986844
sapiopool.com,1755029505160
cardanocanada.org,1744067132085
dataDyne.earth/cardano,1734433267469
twitter.com/OystrPool,1732727747954
qinglong-pool.com,1726398788120
euskalstakepool.win,1706874680071
twitter.com/leon_stake_pool,1691749717101
allnodes.com/ada/staking,1672401573801
champada.io,1663640519391
kurdopia.store,1657629852226
sunner.org,1656312448715
twitter.com/Muggy_Pool,1621112246092
kawancardano.com,1613334607220
pool_id_6838,1613295765372
qubitpool.com,1610058622207
adawallet.io,1599398662328
assetstakepool.wixsite.com/asset,1597003223547
cardano-staking.ch,1590104242321
poopool.org,1583834432938
argyroscrypto.com,1582109636132
az5.io,1575078605651
pool_id_598,1570799258908
twitter.com/deisensei,1559378229536
bulletproofinvestingclub.com/index.html,1556113088116
union4blockchain.com,1550004551292
atmpool.io,1543969217652
adapools.org/pool/4fe880d45cd6170400e70adc79591d8562cbfee07e25e506422da0d7,1535113584915
pool.sublayer.io,1531480101069
cardano-republic.com,1528544286071
rx78pool.wordpress.com,1523532933907
cardan.io,1512915650522
novapool.io,1510008785625
thc-room335.com/pri,1508323115746
twitter.com/pradon730,1507381652307
cardanoblockchain.fr/staking,1499480140293
pool-party.co,1499104644389
pool_id_3119,1493104137239
yepple.io,1477902000751
hunny-pool.com,1466438699747
pooldata.live,1460917106244
blockademia.com,1450858769454
scoop.tech/sabai,1446945323539
pool_id_4086,1443266499439
bloxbean.com,1439409394095
youtube.com/channel/UClFNxD5mGJa-XlZIcX2ko2A,1439116012554
lordb.rocks,1438638186866
facebook.com/STPZpool,1433096253368
Hedgespool.com,1431391497894
pools.zw3rk.com,1419211431642
minasan.io,1411907524099
no-tax.biz,1407835860934
dotare.io,1394978566180
cryptofay.io,1386567486150
odin.baselinux.net,1384231274067
luna-pool.com,1383917309681
spartasp.com,1383154067576
infstones.com,1380381454597
pool.fluid7.com,1379780026736
centuo.com,1367766737454
mbcg.io,1363692320805
888pool.io,1361668782981
cryptocolony.cz,1351964996735
dionysus-pool.io,1351105249337
outerspace.money,1348505059230
twitter.com/DeadRabbitRS,1342998944952
sites.google.com/view/mango-staking-pool,1337967144902
lalkul.com,1327866693031
cardano-stakepool-aid.amebaownd.com,1314652925782
lambdastake.com,1307908030372
vicepool.com,1303965228929
twitter.com/repsistance,1302224143835
animation.com/cardanostakepool,1295613728793
4tun8.tech,1292129596476
ausstaker.com.au,1290041859915
wada.cash,1287229848258
cryptedhoard.com/pool,1285835852792
curryoncrypto.com,1282873479116
ada.thenorthminer.com,1275186224105
adaheartpool.com,1271145615632
staking-cardano.com,1268418715043
lunarpool.io,1267399663623
twitter.com/NantokaSPO,1247122821015
saganpool.com,1243482452675
pool_id_3547,1243345824299
consensusmonky.de,1238551497494
uniquestaking.com,1237470303066
anejopool.com,1235382349526
valhallapool.net,1220666803539
lab44.io,1213233560734
agapepool.ca,1200245508526
ada-candy-stakepool.com,1200008342514
dutchpool.eu,1195361757396
adadogpool.org,1187144140576
cardano420.com,1182256617113
adamoney.net,1178535742607
earncoinpool.com,1177476021579
siam.mof.one,1164961157558
pool.cryptobus.fm,1164239908879
envystakepool.com,1161818230732
aquapool.io,1159273498409
evochro.me,1155751679672
blockinvestmentgroup.com,1155571579267
texanstakes.com,1154132536431
hype-staking.com,1135866359996
pool_id_4737,1135250337604
metablx.com,1134280768255
adasuisse.io,1122847947548
k8s-pool.subnet.dev,1111554135339
indiepool.co,1096798002804
tokyo-pool.com,1092745643581
eelada.com,1091423384058
stakeandeggs.io,1089850259012
aada.finance,1089239230305
pool_id_2406,1080856289450
ispo.occam.fi/project/3,1077277255221
southtyrolpool.it,1076586803597
alphastaking.com,1065599611564
BavarianStakePool.de,1056891236966
cardanostakingpool.com,1056807050943
cardano-universe.com,1055680687084
babbageblockchain.com,1055154878734
cardanoproxy.com,1051538584811
GOmetalaunch.org,1051507446360
blackhengeinv.github.io/RedPandaPool,1045158778622
mobc.work,1043135254582
flycardano.com,1034818627760
kyotostakepool.com,1030647399344
github.com/libertalis/cardanomateas,1027157884381
reliablestaking.com,1015535974376
twitter.com/io_natasha,1010308294234
solidone.io,1006342390223
pool_id_4908,992739868723
greenstakepool.com,980887956882
gaiastakepool.com,973109565289
cardanocenter.pl,965491279301
cardaniano.com,954965581323
mallardorder.io,949176513892
ringsofstaking.ddns.net,933082059332
twitter.com/kobe_ada_pool,932789570050
cardano.ich-war-hier.de,929299234802
twitter.com/PalmaDeCardano,922029687360
danketsu.io,920432586937
mtsk.link,914548628027
pool_id_707,913239295874
elmpi.net,909029185075
lacepool.com,907768808062
sylvanium.com,906515214964
risecardano.com,899542963946
safestak.com,897923969931
twitter.com/GAIN_SPO,891158930070
staked.us,891003390724
vfstudios.io,890972288491
pool_id_77,889805777792
fire-pool.com,888881958050
prometheus-pool.com,879881068980
mylo.farm,875939243145
encoins.io,871480083311
facebook.com/groups/adastakepool/?utm_source=adapools.org,867533322943
bestpoolever.com,865240011799
love2stake.com,863280873400
dochdoch.gitlab.io/add,861898898339
fasostakepool.com,852638496144
pool_id_3996,852040678847
twitter.com/CardanoArmy,847143779719
wise-pool.eu,846676277618
1mate.io,838030158583
plantacrypto.com,831326236316
poolforlovelace.me,828584067699
pool_id_2220,825467654125
volcyada.com,824219368145
responsible-staking.at,822345712331
pool_id_1114,820505837683
pool_id_3921,816338978884
co2pool.com,813288505054
frcan.com,811128109996
5chpool.net,810093024699
abcstake.com,792210294466
pigofapool.github.io,788950841882
8sqrdpools.com,780854523979
felixpham.com,773038436094
getsambaviva.com,764854740051
pool_id_1947,757547642917
goofinator.com,753842113850
stakedingo.com,744025382949
doxacrypto.io,743996507980
adaglobe.com,737573954583
pool_id_4998,737558437771
bekindstakepools.online,733685879148
moxietech.co,730272855780
tetonpool.com,728310404414
monster-stakepool.com,727740036573
sickcity.xyz,727618047270
mediumrarestake.mitchjonesengineering.us,719950295687
mirabiliacrypto.com,718281188806
ohanavalhalla.com,717135910214
otakupool.com,711742678639
k9kstaking.com,711264207770
twitter.com/nappy66560609,697582172262
huatpool.com,696222703924
github.com/ADA-MARS/POOL,695089390890
morecryptoonline.com,689995106030
twitter.com/Sappo77sapporo,686105703994
fritz-stake-pool.com,685970723255
amsterdamnode.com,683242003697
goldcoaststaking.com,680861934658
nftcreative.ca,680031482174
ada.xsec.es,675240581091
universe25.io,674566297016
artano.io,668014671867
pool_id_3956,667627833030
lvlup-stakepool.com,667061059400
grc1.netcount.gr,666045444438
eldenpool.com,649838510567
flac.finance,644636073428
discord.gg/jgVVFwgGuQ,637206631340
mihopool.com,635183074729
solpi.de,633847175229
pool_id_2095,632297994071
jaguares.org,630530559114
bit.ly/3cRZRen,620619104661
blocksandclouds.com,616449661106
ATFFpool.at,612820686669
t.me/TIGERpool,609978774569
pool_id_1237,601983096645
adapool.ssmu.win,590920802834
aionpool.pl,590696692874
1337.chiplife.art,588863496551
totalreturn-staking.com,581866754003
dolcapool.eu,580982645188
januspool.org,572991371491
climateactionfundgroup.com,570787384095
akanepool.github.io,570457071963
flairstaking.io,565105514847
luminapool.io,564628942301
patienceovertime.com,559792085521
chaincrucial.io,558352798639
zunderpool.io,553354366339
fedot-netot.github.io/free-cardano-pools,552098206976
roampool.com,550884589672
angkorwatstakepool.net,547112121375
supernova-pool.com,546156661939
staykpool.com,544740644903
